Region,Country,Organization Name,url,email,phone,Sector,Institution Type,website languages,Concatenated for export,verified url,Notes
ASIA,BANGLADESH,SafeSave,http://www.safesave.org/,,,,,,"Organization Name: SafeSave
url: http://www.safesave.org/
email: 
phone: ",,
ASIA,BANGLADESH,Shakti Foundation for Disadvantaged Women,http://www.sfdw.org/,,,,,,"Organization Name: Shakti Foundation for Disadvantaged Women
url: http://www.sfdw.org/
email: 
phone: ",,
AFRICA,BENIN,Association de Lutte pour la promotion des Initiatives de Développement(Alidé),http://www.alide-bj.org,,,,,,"Organization Name: Association de Lutte pour la promotion des Initiatives de Développement(Alidé)
url: http://www.alide-bj.org
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,BOLIVIA,Fundacion para la Promocion y Desarrollo de la Microempresa- PRODEM,http://www.bellanet.org/partners/mfn/prodem.html,,,,,,"Organization Name: Fundacion para la Promocion y Desarrollo de la Microempresa- PRODEM
url: http://www.bellanet.org/partners/mfn/prodem.html
email: 
phone: ",,
EUROPE,BOSNIA AND HERZEGOVINA,EKI,http://www.eki.ba,,,,,,"Organization Name: EKI
url: http://www.eki.ba
email: 
phone: ",,
EUROPE,BOSNIA AND HERZEGOVINA,Foundation for Sustainable Development(FSD),http://www.odraz.ba/,,,,,,"Organization Name: Foundation for Sustainable Development(FSD)
url: http://www.odraz.ba/
email: 
phone: ",,
EUROPE,BOSNIA AND HERZEGOVINA,MCO Mikra,http://www.mikra.ba,,,,,,"Organization Name: MCO Mikra
url: http://www.mikra.ba
email: 
phone: ",,
EUROPE,BOSNIA AND HERZEGOVINA,Microcredit Organization MI-BOSPO,http://www.mi-bospo.org,,,,,,"Organization Name: Microcredit Organization MI-BOSPO
url: http://www.mi-bospo.org
email: 
phone: ",,
EUROPE,BOSNIA AND HERZEGOVINA,Microcredit Organization Sunrise,http://www.microsunrise.ba,,,,,,"Organization Name: Microcredit Organization Sunrise
url: http://www.microsunrise.ba
email: 
phone: ",,
EUROPE,BOSNIA AND HERZEGOVINA,MIKROFIN Banja Luka,http://www.mikrofin.com,,,,,,"Organization Name: MIKROFIN Banja Luka
url: http://www.mikrofin.com
email: 
phone: ",,
EUROPE,BOSNIA AND HERZEGOVINA,Partner,http://www.partner.ba,,,,,,"Organization Name: Partner
url: http://www.partner.ba
email: 
phone: ",,
EUROPE,BOSNIA AND HERZEGOVINA,Prizma,http://www.prizma.ba,,,,,,"Organization Name: Prizma
url: http://www.prizma.ba
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,BRAZIL,CrediAmigo- Banco do Nordeste,http://www.bnb.gov.br/CrediAmigo,,,,,,"Organization Name: CrediAmigo- Banco do Nordeste
url: http://www.bnb.gov.br/CrediAmigo
email: 
phone: ",,
ASIA,CAMBODIA,Angkor Mikroheranhvatho(Kampuchea) Co. Ltd(AMK),http://www.amkcambodia.com,,,,,,"Organization Name: Angkor Mikroheranhvatho(Kampuchea) Co. Ltd(AMK)
url: http://www.amkcambodia.com
email: 
phone: ",,
ASIA,CAMBODIA,Credit Microfinance Institution,http://www.credit.com.kh/,,,,,,"Organization Name: Credit Microfinance Institution
url: http://www.credit.com.kh/
email: 
phone: ",,
ASIA,CAMBODIA,The Association of Cambodian Local Economic Development Agencies(ACLEDA),http://www.gdrc.org/icm/country/acleda-base.html,,,,,,"Organization Name: The Association of Cambodian Local Economic Development Agencies(ACLEDA)
url: http://www.gdrc.org/icm/country/acleda-base.html
email: 
phone: ",,
AFRICA,CAMEROON,Cameroon Cooperative Credit Union League Limited(CamCCUL),http://www.camccul.org,,,,,,"Organization Name: Cameroon Cooperative Credit Union League Limited(CamCCUL)
url: http://www.camccul.org
email: 
phone: ",,
AFRICA,CHAD,Acode Finance,http://www.acode.org,,,,,,"Organization Name: Acode Finance
url: http://www.acode.org
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,COLOMBIA,Cooperativa Emprender(Cooperativa De Ahorro Y Credito Microempresarial De Colombia Emprender),http://www.cooperativaemprender.com/index.php,,,,,,"Organization Name: Cooperativa Emprender(Cooperativa De Ahorro Y Credito Microempresarial De Colombia Emprender)
url: http://www.cooperativaemprender.com/index.php
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,COLOMBIA,Finamerica,http://www.finamerica.com.co/,,,,,,"Organization Name: Finamerica
url: http://www.finamerica.com.co/
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,COLOMBIA,FMSD- Fundacion Mario Santo Domingo,http://www.fmsd.org.co/,,,,,,"Organization Name: FMSD- Fundacion Mario Santo Domingo
url: http://www.fmsd.org.co/
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,COLOMBIA,Fundación Mundial de la Mujer Bucaramanga,http://www.fmmb.org/,,,,,,"Organization Name: Fundación Mundial de la Mujer Bucaramanga
url: http://www.fmmb.org/
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,COLOMBIA,Fundación WWB Colombia- Cali,http://www.fwwbcol.org,,,,,,"Organization Name: Fundación WWB Colombia- Cali
url: http://www.fwwbcol.org
email: 
phone: ",,
EUROPE,CROATIA,NOA Stedno Kreditna Zadruga,http://www.noa.hr,,,,,,"Organization Name: NOA Stedno Kreditna Zadruga
url: http://www.noa.hr
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,DOMINICAN REPUBLIC,Fundacion Dominicana de Desarrollo,http://www.fdd.org.do,,,,,,"Organization Name: Fundacion Dominicana de Desarrollo
url: http://www.fdd.org.do
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,ECUADOR,Credi Fe Desarrollo Microempresarial S.A.,http://www.credife.com,,,,,,"Organization Name: Credi Fe Desarrollo Microempresarial S.A.
url: http://www.credife.com
email: 
phone: ",,
AFRICA,EGYPT,Alexandria Business Association- Small& Micro Enterprise Project(ABA),http://www.aba-sme.com/,,,,,,"Organization Name: Alexandria Business Association- Small& Micro Enterprise Project(ABA)
url: http://www.aba-sme.com/
email: 
phone: ",,
AFRICA,EGYPT,Dakahlya Businessmen`s Association for Community Development,http://www.dbacd-eg.org,,,,,,"Organization Name: Dakahlya Businessmen`s Association for Community Development
url: http://www.dbacd-eg.org
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,HAITI,FONKOZE- Fondasyon Kole Zepol,http://www.fonkoze.org/,,,,,,"Organization Name: FONKOZE- Fondasyon Kole Zepol
url: http://www.fonkoze.org/
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,HONDURAS,ACCION,http://www.accion.org/,,,,,,"Organization Name: ACCION
url: http://www.accion.org/
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,HONDURAS,Adelante foundation,http://www.adelantefoundation.org/,,,,,,"Organization Name: Adelante foundation
url: http://www.adelantefoundation.org/
email: 
phone: ",,
ASIA,INDONESIA,Promotion of Small Financial Institutions(ProFi),http://www.profi.or.id/,,,,,,"Organization Name: Promotion of Small Financial Institutions(ProFi)
url: http://www.profi.or.id/
email: 
phone: ",,
AFRICA,IVORY COAST,Abidjan Credit,http://www.abidjancredit.com,,,,,,"Organization Name: Abidjan Credit
url: http://www.abidjancredit.com
email: 
phone: ",,
AFRICA,IVORY COAST,Afrique Emergence& Investissements,http://www.aei-investissements.com,,,,,,"Organization Name: Afrique Emergence& Investissements
url: http://www.aei-investissements.com
email: 
phone: ",,
ASIA,JORDAN,Development and Employment Fund,http://www.def.gov.jo,,,,,,"Organization Name: Development and Employment Fund
url: http://www.def.gov.jo
email: 
phone: ",,
ASIA,JORDAN,Microfund for Women,http://www.microfund.org.jo,,,,,,"Organization Name: Microfund for Women
url: http://www.microfund.org.jo
email: 
phone: ",,
ASIA,KAZAKHSTAN,Kazakhstan Loan Fund,http://www.kmf.kz,,,,,,"Organization Name: Kazakhstan Loan Fund
url: http://www.kmf.kz
email: 
phone: ",,
AFRICA,KENYA,Ebony Foundation,http://www.ebfkenya.org/,,,,,,"Organization Name: Ebony Foundation
url: http://www.ebfkenya.org/
email: 
phone: ",,
AFRICA,KENYA,"K-Rep Bank, Ltd.",http://www.k-repbank.com/,,,,,,"Organization Name: K-Rep Bank, Ltd.
url: http://www.k-repbank.com/
email: 
phone: ",,
EUROPE,KOSOVO,Kosovo Enterprise Program(KEP),http://www.keponline.net/,,,,,,"Organization Name: Kosovo Enterprise Program(KEP)
url: http://www.keponline.net/
email: 
phone: ",,
EUROPE,KOSOVO,Kreditimi Rural i Kosoves LLC(formerly Rural Finance Project of Kosovo),http://www.micro-credit.net/kosovo/home.html,,,,,,"Organization Name: Kreditimi Rural i Kosoves LLC(formerly Rural Finance Project of Kosovo)
url: http://www.micro-credit.net/kosovo/home.html
email: 
phone: ",,
AFRICA,MADAGASCAR,Action pour le Développement et le Financement des Micro-Entreprises(ADEFI),http://www.adefi.org,,,,,,"Organization Name: Action pour le Développement et le Financement des Micro-Entreprises(ADEFI)
url: http://www.adefi.org
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,MEXICO,"Banco Compartamos, S.A., Institución de Banca Múltiple",http://www.compartamos.com,,,,,,"Organization Name: Banco Compartamos, S.A., Institución de Banca Múltiple
url: http://www.compartamos.com
email: 
phone: ",,
ASIA,MONGOLIA,Khan Bank(Agricultural Bank of Mongolia LLP),http://www.khanbank.com,,,,,,"Organization Name: Khan Bank(Agricultural Bank of Mongolia LLP)
url: http://www.khanbank.com
email: 
phone: ",,
AFRICA,MOROCCO,Association Al Amana for the Promotion of Micro-Enterprises Morocco,http://www.alamana.org,,,,,,"Organization Name: Association Al Amana for the Promotion of Micro-Enterprises Morocco
url: http://www.alamana.org
email: 
phone: ",,
AFRICA,MOROCCO,Fondation Zakoura,http://www.zakourafondation.org,,,,,,"Organization Name: Fondation Zakoura
url: http://www.zakourafondation.org
email: 
phone: ",,
AFRICA,MOROCCO,FONDEP Micro-Crédit,http://www.fondep.com,,,,,,"Organization Name: FONDEP Micro-Crédit
url: http://www.fondep.com
email: 
phone: ",,
ASIA,NEPAL,Nepal Federation of Savings& Credit Co-operative Unions Ltd.(NEFSCUN),http://www.nefscun.org.np/,,,,,,"Organization Name: Nepal Federation of Savings& Credit Co-operative Unions Ltd.(NEFSCUN)
url: http://www.nefscun.org.np/
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,NICARAGUA,Asociación de Consultores para el Desarrollo de la Pequeña(ACODEP),http://www.acodep.org.ni,,,,,,"Organization Name: Asociación de Consultores para el Desarrollo de la Pequeña(ACODEP)
url: http://www.acodep.org.ni
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,NICARAGUA,Financiera FAMA,http://www.financierafama.com.ni,,,,,,"Organization Name: Financiera FAMA
url: http://www.financierafama.com.ni
email: 
phone: ",,
AFRICA,NIGERIA,Accion Microfinance Bank Limited,http://www.accionmfb.com,,,,,,"Organization Name: Accion Microfinance Bank Limited
url: http://www.accionmfb.com
email: 
phone: ",,
AFRICA,NIGERIA,Alliance Microfinance Bank Limited,http://www.alliancemfb.com,,,,,,"Organization Name: Alliance Microfinance Bank Limited
url: http://www.alliancemfb.com
email: 
phone: ",,
EUROPE,NORWAY,Stromme Foundation,http://www.stromme.org,,,,,,"Organization Name: Stromme Foundation
url: http://www.stromme.org
email: 
phone: ",,
ASIA,PAKISTAN,Kashf Foundation,http://www.kashf.org/,,,,,,"Organization Name: Kashf Foundation
url: http://www.kashf.org/
email: 
phone: ",,
ASIA,PAKISTAN,Network Leasing Corporation(NLC) Limited,http://www.nlcl.net,,,,,,"Organization Name: Network Leasing Corporation(NLC) Limited
url: http://www.nlcl.net
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,PARAGUAY,Fundacion Paraguaya(Fundacion Paraguaya de Cooperacion y Desarrollo),http://www.fundacionparaguaya.org.py,,,,,,"Organization Name: Fundacion Paraguaya(Fundacion Paraguaya de Cooperacion y Desarrollo)
url: http://www.fundacionparaguaya.org.py
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,PERU,Caja Municipal de Ahorro y Crédito de Arequipa,http://www.cmac-arequipa.com.pe,,,,,,"Organization Name: Caja Municipal de Ahorro y Crédito de Arequipa
url: http://www.cmac-arequipa.com.pe
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,PERU,Caja Municipal de Ahorro y Crédito de Cusco,http://www.cmac-cusco.com.pe,,,,,,"Organization Name: Caja Municipal de Ahorro y Crédito de Cusco
url: http://www.cmac-cusco.com.pe
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,PERU,Caja Municipal de Ahorro y Crédito de Trujillo,https://www.cajatrujillo.com.pe/,,,,,,"Organization Name: Caja Municipal de Ahorro y Crédito de Trujillo
url: https://www.cajatrujillo.com.pe/
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,PERU,"Mibanco, Banco de la Microempresa S.A.",http://www.mibanco.com.pe/,,,,,,"Organization Name: Mibanco, Banco de la Microempresa S.A.
url: http://www.mibanco.com.pe/
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,PERU,Programas para la Mujer,http://www.pro-mujer.org/,,,,,,"Organization Name: Programas para la Mujer
url: http://www.pro-mujer.org/
email: 
phone: ",,
ASIA,PHILIPPINES,Center for Agriculture and Rural Development(CARD Bank),http://www.cardbankph.com,,,,,,"Organization Name: Center for Agriculture and Rural Development(CARD Bank)
url: http://www.cardbankph.com
email: 
phone: ",,
ASIA,PHILIPPINES,People`s Credit and Finance Corp.,http://www.pcfc.ph/,,,,,,"Organization Name: People`s Credit and Finance Corp.
url: http://www.pcfc.ph/
email: 
phone: ",,
ASIA,PHILIPPINES,People`s Credit and Finance Corp.,http://www.pcfc.ph/,,,,,,"Organization Name: People`s Credit and Finance Corp.
url: http://www.pcfc.ph/
email: 
phone: ",,
ASIA,PHILIPPINES,Quedan and Rural Credit Guarantee Corp.(Quedancor),http://www.quedancor.gov.ph,,,,,,"Organization Name: Quedan and Rural Credit Guarantee Corp.(Quedancor)
url: http://www.quedancor.gov.ph
email: 
phone: ",,
ASIA,PHILIPPINES,Sustainable Economic Activity Development(SEAD),http://www.seadphil.com,,,,,,"Organization Name: Sustainable Economic Activity Development(SEAD)
url: http://www.seadphil.com
email: 
phone: ",,
ASIA,PHILIPPINES,TSPI Development Corporation,http://www.tspi.org,,,,,,"Organization Name: TSPI Development Corporation
url: http://www.tspi.org
email: 
phone: ",,
ASIA,RUSSIA,Consumer Credit Union`Economic Partnership`,http://www.ekpa.uray-city.com/,,,,,,"Organization Name: Consumer Credit Union`Economic Partnership`
url: http://www.ekpa.uray-city.com/
email: 
phone: ",,
ASIA,SAMOA,South Pacific Business Development(SPBD),http://www.spbd.ws,,,,,,"Organization Name: South Pacific Business Development(SPBD)
url: http://www.spbd.ws
email: 
phone: ",,
EUROPE,SERBIA MONTENEGRO,AgroInvest,http://serbia.worldvision.org,,,,,,"Organization Name: AgroInvest
url: http://serbia.worldvision.org
email: 
phone: ",,
EUROPE,SERBIA MONTENEGRO,Opportunity Bank A.D. Podgorica,http://www.opportunitybank.cg.yu/english/,,,,,,"Organization Name: Opportunity Bank A.D. Podgorica
url: http://www.opportunitybank.cg.yu/english/
email: 
phone: ",,
AFRICA,SOUTH AFRICA,ARTPAC Lending Services Association,http://www.artpac.co.za,,,,,,"Organization Name: ARTPAC Lending Services Association
url: http://www.artpac.co.za
email: 
phone: ",,
AFRICA,SOUTH AFRICA,Pelip,http://www.pelip.co.za,,,,,,"Organization Name: Pelip
url: http://www.pelip.co.za
email: 
phone: ",,
ASIA,SRI LANKA,Sanasa Development Bank,http://www.sdb.lk,,,,,,"Organization Name: Sanasa Development Bank
url: http://www.sdb.lk
email: 
phone: ",,
AFRICA,EGYPT,Alexandria Business Association- Small& Micro Enterprise Project(ABA),http://www.aba-sme.com/,,,,,,"Organization Name: Alexandria Business Association- Small& Micro Enterprise Project(ABA)
url: http://www.aba-sme.com/
email: 
phone: ",,
AFRICA,EGYPT,Dakahlya Businessmen's Association for Community Development,http://www.microfinancegateway.org/p/site/m/template.rc/1.11.46663/,,,,,,"Organization Name: Dakahlya Businessmen's Association for Community Development
url: http://www.microfinancegateway.org/p/site/m/template.rc/1.11.46663/
email: 
phone: ",,
AFRICA,ETHIOPIA,Amhara Credit and Savings Institution,http://www.bds-ethiopia.net/finance/amhara-credit.html,acsi@telecom.net.et,,,,,"Organization Name: Amhara Credit and Savings Institution
url: http://www.bds-ethiopia.net/finance/amhara-credit.html
email: acsi@telecom.net.et
phone: ",,
AFRICA,ETHIOPIA,Dedebit Credit and Savings Institution,http://www.bds-ethiopia.net/finance/dedebit.html,decsi@telecom.net.et,,,,,"Organization Name: Dedebit Credit and Savings Institution
url: http://www.bds-ethiopia.net/finance/dedebit.html
email: decsi@telecom.net.et
phone: ",,
AFRICA,GHANA,World Council of Credit Unions,http://www.woccu.org/,mail@woccu.org,1-608-395-2000,,,,"Organization Name: World Council of Credit Unions
url: http://www.woccu.org/
email: mail@woccu.org
phone: 1-608-395-2000",,
AFRICA,KENYA,World Council of Credit Unions,http://www.woccu.org/,mail@woccu.org,1-608-395-2000,,,,"Organization Name: World Council of Credit Unions
url: http://www.woccu.org/
email: mail@woccu.org
phone: 1-608-395-2000",,
AFRICA,KENYA,"K-Rep Bank, Ltd.",http://www.k-repbank.com/,,,,,,"Organization Name: K-Rep Bank, Ltd.
url: http://www.k-repbank.com/
email: 
phone: ",,
AFRICA,MALAWI,World Council of Credit Unions,http://www.woccu.org/,mail@woccu.org,1-608-395-2000,,,,"Organization Name: World Council of Credit Unions
url: http://www.woccu.org/
email: mail@woccu.org
phone: 1-608-395-2000",,
AFRICA,RWANDA,World Council of Credit Unions,http://www.woccu.org/,mail@woccu.org,1-608-395-2000,,,,"Organization Name: World Council of Credit Unions
url: http://www.woccu.org/
email: mail@woccu.org
phone: 1-608-395-2000",,
AFRICA,SOUTH AFRICA,World Council of Credit Unions,http://www.woccu.org/,mail@woccu.org,1-608-395-2000,,,,"Organization Name: World Council of Credit Unions
url: http://www.woccu.org/
email: mail@woccu.org
phone: 1-608-395-2000",,
AFRICA,TANZANIA,BRAC Tanzania,http://www.brac.net,,,,,,"Organization Name: BRAC Tanzania
url: http://www.brac.net
email: 
phone: ",,
AFRICA,TUNISIA,Enda inter-arabe,http://www.endarabe.org.tn,,,,,,"Organization Name: Enda inter-arabe
url: http://www.endarabe.org.tn
email: 
phone: ",,
AFRICA,UGANDA,BRAC Uganda,http://www.brac.net,,,,,,"Organization Name: BRAC Uganda
url: http://www.brac.net
email: 
phone: ",,
EUROPE,UNITED KINGDOM,Crystal Fund,http://www.crystal.ge,,,,,,"Organization Name: Crystal Fund
url: http://www.crystal.ge
email: 
phone: ",,
EUROPE,UNITED KINGDOM,Crystal Fund,http://www.crystal.ge,,,,,,"Organization Name: Crystal Fund
url: http://www.crystal.ge
email: 
phone: ",,
EUROPE,UNITED KINGDOM,Crystal Fund,http://www.crystal.ge,,,,,,"Organization Name: Crystal Fund
url: http://www.crystal.ge
email: 
phone: ",,
EUROPE,UNITED KINGDOM,Microloan Foundation,http://www.microloanfoundation.org.uk/index.asp,,,,,,"Organization Name: Microloan Foundation
url: http://www.microloanfoundation.org.uk/index.asp
email: 
phone: ",,
EUROPE,UNITED KINGDOM,The Credit Exchange,http://www.credex-online.com,,,,,,"Organization Name: The Credit Exchange
url: http://www.credex-online.com
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,ACCION New York,http://www.accionnewyork.org/default.asp,,,,,,"Organization Name: ACCION New York
url: http://www.accionnewyork.org/default.asp
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,ACCION USA,http://www.accionusa.org,,,,,,"Organization Name: ACCION USA
url: http://www.accionusa.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Alternatives Federal Credit Union,http://www.alternatives.org,,,,,,"Organization Name: Alternatives Federal Credit Union
url: http://www.alternatives.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Bushwick Cooperative FCU,http://www.bushwick.coop,,,,,,"Organization Name: Bushwick Cooperative FCU
url: http://www.bushwick.coop
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Credit Union Executive Society(CUES),http://www.cues.org/,,,,,,"Organization Name: Credit Union Executive Society(CUES)
url: http://www.cues.org/
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Enterprise Corporation of the Delta/Hope Community Credit Union(ECD/HOPE),http://www.ecd.org,,,,,,"Organization Name: Enterprise Corporation of the Delta/Hope Community Credit Union(ECD/HOPE)
url: http://www.ecd.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,First Nations Oweesta Corporation(OWEESTA),http://www.oweesta.org,,,,,,"Organization Name: First Nations Oweesta Corporation(OWEESTA)
url: http://www.oweesta.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Genesis Community Loan Fund,http://www.genesisfund.org,,,,,,"Organization Name: Genesis Community Loan Fund
url: http://www.genesisfund.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Mission Community Services Corporation,http://www.mcscorp.org,,,,,,"Organization Name: Mission Community Services Corporation
url: http://www.mcscorp.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Nonprofit Finance Fund(NFF),http://www.nonprofitfinancefund.org,,,,,,"Organization Name: Nonprofit Finance Fund(NFF)
url: http://www.nonprofitfinancefund.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Opportunity International- US-Women`s Opportunity Fund,http://www.opportunity.org/wof,,,,,,"Organization Name: Opportunity International- US-Women`s Opportunity Fund
url: http://www.opportunity.org/wof
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Peoples` Fund,http://www.peoplesfund.org,,,,,,"Organization Name: Peoples` Fund
url: http://www.peoplesfund.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Prisma Microfinance,http://www.prismamicrofinance.com,,,,,,"Organization Name: Prisma Microfinance
url: http://www.prismamicrofinance.com
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,The Lakota Fund,http://www.lakotafunds.org,,,,,,"Organization Name: The Lakota Fund
url: http://www.lakotafunds.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Trickle Up Program,http://www.trickleup.org,,,,,,"Organization Name: Trickle Up Program
url: http://www.trickleup.org
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Vermont Development Credit Union(VDCU),http://www.vdcu.org/,,,,,,"Organization Name: Vermont Development Credit Union(VDCU)
url: http://www.vdcu.org/
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,Western Massachusetts Enterprise Fund(WMEF),http://www.wmef.org/,,,,,,"Organization Name: Western Massachusetts Enterprise Fund(WMEF)
url: http://www.wmef.org/
email: 
phone: ",,
NORTH AMERICA,UNITED STATES OF AMERICA,World Relief,http://www.wr.org,,,,,,"Organization Name: World Relief
url: http://www.wr.org
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,URUGUAY,COFAC- Cooperative Nacional de ahorro y credito,http://www.cofac.com.uy/,,,,,,"Organization Name: COFAC- Cooperative Nacional de ahorro y credito
url: http://www.cofac.com.uy/
email: 
phone: ",,
